id,number,html_url,agent,additions,deletions,changed_files,changed_loc
3244557671,3530,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3530,OpenAI_Codex,6.0,6.0,1.0,12.0
3070969126,148,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/148,OpenAI_Codex,8.0,8.0,2.0,16.0
3070986639,168,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/168,OpenAI_Codex,62.0,5.0,2.0,67.0
3070993883,175,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/175,OpenAI_Codex,50.0,1.0,3.0,51.0
3078454033,8249,https://github.com/stanfordnlp/dspy/pull/8249,OpenAI_Codex,1.0,1.0,1.0,2.0
3264075202,182,https://github.com/stanford-crfm/haliax/pull/182,OpenAI_Codex,24.0,24.0,6.0,48.0
3140809822,2043,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2043,OpenAI_Codex,1.0,1.0,1.0,2.0
3257380664,3698,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3698,OpenAI_Codex,45.0,0.0,1.0,45.0
3143484979,442,https://github.com/WorkflowAI/WorkflowAI/pull/442,OpenAI_Codex,4.0,2.0,1.0,6.0
3151619436,73,https://github.com/featureform/enrichmcp/pull/73,OpenAI_Codex,20.0,7.0,1.0,27.0
3070060986,7,https://github.com/cx0/chatGPT-for-genetics/pull/7,OpenAI_Codex,7.0,1.0,1.0,8.0
3070063454,2252,https://github.com/commaai/opendbc/pull/2252,OpenAI_Codex,4.0,3.0,1.0,7.0
3226716187,3305,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3305,OpenAI_Codex,6.0,2.0,2.0,8.0
3271703897,3871,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3871,OpenAI_Codex,1.0,1.0,1.0,2.0
3235634787,3423,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3423,OpenAI_Codex,26.0,6.0,3.0,32.0
